,Kindom,Phylum,Class,Order,Family,Genus,Species,Life form
Native1,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia stolonifera,Perennial
Native2,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens pilosa,Annyal
Native3,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,Eclipta prostrata,Annyal
Native4,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,Perennial
Native5,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Patrinia,Patrinia scabiosifolia,Perennial
Native6,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia procumbens,Annyal
Native7,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Perilla,Perilla frutescens,Annyal
Native8,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum nigrum,Annyal
Native9,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,Achyranthes aspera,Perennial
Native10,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria chinensis,Perennial
Native11,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria filiformis,Perennial
Native12,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia,Annyal
Native13,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Medicago sativa,Perennial
Native14,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Sesbania,Sesbania cannabina,Annyal
Native15,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Penthoraceae,Penthorum,Penthorum chinense,Perennial
Native16,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Lolium,Lolium perenne,Perennial
